,type,segment,name,number,diam,len,pathdist,dist,order,area
0,basal,0.5,control_719[0].dend[11],11,0.46099999547004705,30.01212089664408,108.40906938764603,86.25194628650745,4,43.46578035408809
0,basal,0.07142857142857142,control_719[0].dend[12],12,0.46500000357627863,22.163627511996477,44.84902809568908,28.083004665651522,3,32.377526805406795
0,basal,0.21428571428571427,control_719[0].dend[12],12,0.4650000035762787,22.005025384629807,66.85405348031888,34.84307595943033,3,32.14583437927171
0,basal,0.35714285714285715,control_719[0].dend[12],12,0.4650000035762787,22.005025384629807,88.8590788649487,47.397081725264236,3,32.14583437927171
0,basal,0.5,control_719[0].dend[12],12,0.46500000357627885,22.005025384629807,110.86410424957849,67.51203028270112,3,32.14583437927172
0,basal,0.6428571428571429,control_719[0].dend[12],12,0.46500000357627863,22.005025384629807,132.86912963420832,87.15598248559206,3,32.145834379271705
0,basal,0.7857142857142857,control_719[0].dend[12],12,0.46500000357627863,22.005025384629807,154.8741550188381,106.15902950560208,3,32.145834379271705
0,basal,0.9285714285714286,control_719[0].dend[12],12,0.4650000035762783,22.005025384629807,176.8791804034679,122.38183882075832,3,32.14583437927168
0,basal,0.05555555555555555,control_719[0].dend[13],13,1.277999997138977,18.559216070336777,9.279608035168389,13.416318934178697,1,74.51442482404396
0,basal,0.16666666666666666,control_719[0].dend[13],13,1.0821372029747403,18.560186635753084,27.838824105505168,21.10750432789347,1,63.097846860798406
0,basal,0.2777777777777778,control_719[0].dend[13],13,0.8249101598020537,18.559421615611274,46.39804017584195,35.32688949106738,1,48.09732941165311
0,basal,0.3888888888888889,control_719[0].dend[13],13,0.743888254239949,18.559225146460488,64.95725624617873,52.85424748795089,1,43.37279548482241
0,basal,0.5,control_719[0].dend[13],13,0.7429999709129331,18.55921607033678,83.5164723165155,67.63571759615827,1,43.320982473240164
0,basal,0.6111111111111112,control_719[0].dend[13],13,0.7429999709129332,18.55921607033678,102.07568838685229,81.003491069467,1,43.32098247324017
0,basal,0.7222222222222222,control_719[0].dend[13],13,0.7429999709129338,18.559216070336777,120.63490445718907,97.55945109416959,1,43.3209824732402
0,basal,0.8333333333333334,control_719[0].dend[13],13,0.7429999709129327,18.559216070336777,139.19412052752585,113.2509275398998,1,43.320982473240136
0,basal,0.9444444444444444,control_719[0].dend[13],13,0.7429999709129338,18.559216070336777,157.7533365978626,129.3670128173733,1,43.3209824732402
0,basal,0.5,control_719[0].dend[14],14,0.9259999990463258,15.209455213372053,7.500001905383053,18.71837582455782,2,44.246051173370226
0,basal,0.5,control_719[0].dend[15],15,0.6340000033378601,40.12791146238538,34.97414881806227,40.848819401490715,3,79.92556029630857
0,basal,0.16666666666666666,control_719[0].dend[16],16,0.460999995470047,26.54728718680136,68.17057217736256,70.72153986249165,4,38.44775108804232
0,basal,0.5,control_719[0].dend[16],16,0.460999995470047,26.444556704008257,94.61512888137081,94.52906211045249,4,38.29896918035469
0,basal,0.8333333333333334,control_719[0].dend[16],16,0.4609999954700469,26.44455670400826,121.05968558537909,118.68107524950427,4,38.29896918035468
0,basal,0.1,control_719[0].dend[17],17,0.46099999547004694,16.844199314470718,63.31902824119723,65.4087486306491,4,24.395019271201623
0,basal,0.3,control_719[0].dend[17],17,0.460999995470047,16.74146883167761,80.06049707287484,76.3608406497602,4,24.246237363513995
0,basal,0.5,control_719[0].dend[17],17,0.46099999547004683,16.74146883167761,96.80196590455246,85.2146637504072,4,24.246237363513984
0,basal,0.7,control_719[0].dend[17],17,0.46099999547004705,16.741468831677615,113.54343473623005,91.51476375046448,4,24.246237363514
0,basal,0.9,control_719[0].dend[17],17,0.4609999954700473,16.74146883167761,130.2849035679077,91.67985047113386,4,24.24623736351401
0,basal,0.5,control_719[0].dend[18],18,0.9120000004768373,5.006341795674788,17.499647844931545,26.85429583238675,3,14.34383259276576
0,basal,0.5,control_719[0].dend[19],19,0.7089999914169312,5.1168207608111205,22.499686917996172,31.2425847438822,4,11.397151118964521
0,basal,0.05555555555555555,control_719[0].dend[20],20,0.45699998736381536,18.73875945618106,34.28909187987013,41.190743183417915,5,26.903383169644087
0,basal,0.16666666666666666,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,52.86711172581967,58.01589688210682,5,26.672608056984675
0,basal,0.2777777777777778,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,71.44513157176921,73.78728371525668,5,26.672608056984675
0,basal,0.3888888888888889,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,90.02315141771874,89.16336595979945,5,26.672608056984675
0,basal,0.5,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,108.60117126366828,103.3311062622272,5,26.672608056984675
0,basal,0.6111111111111112,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,127.17919110961783,116.13112972826846,5,26.672608056984675
0,basal,0.7222222222222222,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,145.7572109555674,133.90697338036753,5,26.672608056984675
0,basal,0.8333333333333334,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,164.33523080151693,149.07863734491866,5,26.672608056984675
0,basal,0.9444444444444444,control_719[0].dend[20],20,0.45699998736381536,18.57801984594954,182.91325064746647,164.7641275183608,5,26.672608056984675
0,basal,0.5,control_719[0].dend[21],21,0.6269999742507935,5.043837459001441,27.500160171121415,34.31747747075744,5,9.935242649337903
0,basal,0.1,control_719[0].dend[22],22,0.453000009059906,23.906505118502427,41.90163665217488,44.375471949595806,6,34.022339566981906
0,basal,0.3,control_719[0].dend[22],22,0.453000009059906,23.802796533654817,65.70443318582969,66.29004451095994,6,33.87474757592313
0,basal,0.5,control_719[0].dend[22],22,0.45300000905990606,23.802796533654817,89.5072297194845,90.04155944241424,6,33.87474757592314
0,basal,0.7,control_719[0].dend[22],22,0.45300000905990606,23.802796533654817,113.31002625313931,113.4865112535102,6,33.87474757592314
0,basal,0.9,control_719[0].dend[22],22,0.4530000090599059,23.802796533654817,137.11282278679414,135.59628389359716,6,33.874747575923124
0,basal,0.05555555555555555,control_719[0].dend[23],23,0.453000009059906,18.142769095585436,39.01976864071639,38.08342875723498,6,25.8197276346188
0,basal,0.16666666666666666,control_719[0].dend[23],23,0.453000009059906,18.039060510737833,57.05882915145422,52.39824751942378,6,25.672135643560036
